"","Spectra from Area #1-Spectrum","Spectra from Area #1-Background","Spectra from Area #1-Modeled","Spectra from Area #1-Residual"
"Energy","Intensity","Intensity","Intensity","Intensity"
"eV","Counts","Counts","Counts","Counts"
7.875000e+02,1.770000e+02,1.652007e+02,1.838468e+02,-6.846817e+00
7.925000e+02,1.750000e+02,1.661680e+02,1.858465e+02,-1.084648e+01
7.975000e+02,1.690000e+02,1.672959e+02,1.881555e+02,-1.915555e+01
8.025000e+02,1.760000e+02,1.685830e+02,1.905768e+02,-1.457680e+01
8.075000e+02,1.760000e+02,1.700308e+02,1.930233e+02,-1.702325e+01
8.125000e+02,1.550000e+02,1.716377e+02,1.954574e+02,-4.045743e+01
8.175000e+02,1.680000e+02,1.734048e+02,1.978782e+02,-2.987823e+01
8.225000e+02,1.850000e+02,1.753325e+02,2.003275e+02,-1.532750e+01
8.275000e+02,1.830000e+02,1.774199e+02,2.028909e+02,-1.989090e+01
8.325000e+02,1.770000e+02,1.796675e+02,2.056702e+02,-2.867020e+01
8.375000e+02,1.630000e+02,1.820742e+02,2.089098e+02,-4.590984e+01
8.425000e+02,1.810000e+02,1.846416e+02,2.127689e+02,-3.176889e+01
8.475000e+02,1.660000e+02,1.873691e+02,2.174785e+02,-5.147845e+01
8.525000e+02,1.530000e+02,1.863879e+02,2.194094e+02,-6.640939e+01
8.575000e+02,1.750000e+02,1.854066e+02,2.225014e+02,-4.750139e+01
8.625000e+02,1.870000e+02,1.844254e+02,2.269564e+02,-3.995641e+01
8.675000e+02,1.530000e+02,1.834441e+02,2.329258e+02,-7.992584e+01
8.725000e+02,1.850000e+02,1.824628e+02,2.404898e+02,-5.548981e+01
8.775000e+02,2.010000e+02,1.814816e+02,2.496335e+02,-4.863353e+01
8.825000e+02,2.290000e+02,1.805003e+02,2.602364e+02,-3.123636e+01
8.875000e+02,2.040000e+02,1.795190e+02,2.720598e+02,-6.805975e+01
8.925000e+02,2.640000e+02,1.785378e+02,2.847475e+02,-2.074753e+01
8.975000e+02,2.560000e+02,1.775565e+02,2.978360e+02,-4.183597e+01
9.025000e+02,3.050000e+02,1.765753e+02,3.107750e+02,-5.774994e+00
9.075000e+02,3.270000e+02,1.755940e+02,3.229596e+02,4.040375e+00
9.125000e+02,3.510000e+02,1.746127e+02,3.337700e+02,1.723004e+01
9.175000e+02,4.050000e+02,1.736315e+02,3.426160e+02,6.238397e+01
9.225000e+02,3.840000e+02,1.726502e+02,3.489836e+02,3.501642e+01
9.275000e+02,3.970000e+02,1.716689e+02,3.524755e+02,4.452451e+01
9.325000e+02,4.050000e+02,1.706877e+02,3.528444e+02,5.215558e+01
9.375000e+02,3.950000e+02,1.697064e+02,3.500132e+02,4.498682e+01
9.425000e+02,3.930000e+02,1.687252e+02,3.440797e+02,4.892029e+01
9.475000e+02,3.640000e+02,1.677439e+02,3.353073e+02,2.869275e+01
9.525000e+02,3.320000e+02,1.667626e+02,3.240996e+02,7.900360e+00
9.575000e+02,3.010000e+02,1.657814e+02,3.109616e+02,-9.961609e+00
9.625000e+02,2.940000e+02,1.648001e+02,2.964764e+02,-2.476440e+00
9.675000e+02,2.590000e+02,1.638188e+02,2.812272e+02,-2.222723e+01
9.725000e+02,2.620000e+02,1.628376e+02,2.657812e+02,-3.781158e+00
9.775000e+02,1.810000e+02,1.618563e+02,2.506438e+02,-6.964380e+01
9.825000e+02,2.100000e+02,1.608751e+02,2.362422e+02,-2.624223e+01
9.875000e+02,1.850000e+02,1.598938e+02,2.228937e+02,-3.789372e+01
9.925000e+02,1.910000e+02,1.589125e+02,2.108128e+02,-1.981276e+01
9.975000e+02,1.660000e+02,1.579313e+02,2.001120e+02,-3.411205e+01
1.002500e+03,1.380000e+02,1.569500e+02,1.908144e+02,-5.281439e+01
1.007500e+03,1.430000e+02,1.559688e+02,1.828696e+02,-3.986955e+01
1.012500e+03,1.490000e+02,1.549875e+02,1.761734e+02,-2.717342e+01
1.017500e+03,1.470000e+02,1.540062e+02,1.705872e+02,-2.358723e+01
1.022500e+03,1.470000e+02,1.530251e+02,1.659552e+02,-1.895518e+01
1.027500e+03,1.610000e+02,1.524988e+02,1.625734e+02,-1.573395e+00
1.032500e+03,1.590000e+02,1.519805e+02,1.598444e+02,-8.444214e-01
1.037500e+03,1.530000e+02,1.514700e+02,1.576333e+02,-4.633347e+00
1.042500e+03,1.480000e+02,1.509673e+02,1.558247e+02,-7.824738e+00
1.047500e+03,1.390000e+02,1.504726e+02,1.543238e+02,-1.532379e+01
1.052500e+03,1.690000e+02,1.499857e+02,1.530557e+02,1.594434e+01
1.057500e+03,1.410000e+02,1.495067e+02,1.519632e+02,-1.096315e+01
1.062500e+03,1.400000e+02,1.490355e+02,1.510039e+02,-1.100389e+01
1.067500e+03,1.550000e+02,1.485723e+02,1.501475e+02,4.852463e+00
1.072500e+03,1.670000e+02,1.481168e+02,1.493724e+02,1.762764e+01
1.077500e+03,1.560000e+02,1.476693e+02,1.486149e+02,7.385117e+00
1.082500e+03,1.300000e+02,1.472296e+02,1.479818e+02,-1.798177e+01
1.087500e+03,1.260000e+02,1.467978e+02,1.473874e+02,-2.138736e+01
1.092500e+03,1.550000e+02,1.463739e+02,1.468290e+02,8.171021e+00
1.097500e+03,1.540000e+02,1.459578e+02,1.462958e+02,7.704239e+00
1.102500e+03,1.410000e+02,1.455497e+02,1.458036e+02,-4.803589e+00
1.107500e+03,1.440000e+02,1.451493e+02,1.453367e+02,-1.336655e+00
1.112500e+03,1.270000e+02,1.447569e+02,1.448927e+02,-1.789270e+01
1.117500e+03,1.300000e+02,1.443723e+02,1.444689e+02,-1.446893e+01
1.122500e+03,1.400000e+02,1.439955e+02,1.440631e+02,-4.063141e+00
1.127500e+03,1.500000e+02,1.436268e+02,1.436732e+02,6.326813e+00
1.132500e+03,1.440000e+02,1.432658e+02,1.432971e+02,7.028809e-01
1.137500e+03,1.660000e+02,1.429127e+02,1.429335e+02,2.306654e+01
1.142500e+03,1.360000e+02,1.425674e+02,1.425809e+02,-6.580933e+00
1.147500e+03,1.340000e+02,1.422301e+02,1.422387e+02,-8.238724e+00
1.152500e+03,1.370000e+02,1.419006e+02,1.419060e+02,-4.905991e+00
1.157500e+03,1.530000e+02,1.415790e+02,1.415824e+02,1.141762e+01
1.162500e+03,1.380000e+02,1.412653e+02,1.412673e+02,-3.267273e+00
1.167500e+03,1.290000e+02,1.409594e+02,1.409601e+02,-1.196010e+01
1.172500e+03,1.600000e+02,1.406614e+02,1.406614e+02,1.933862e+01
1.177500e+03,1.420000e+02,1.403712e+02,1.403712e+02,1.628784e+00
1.182500e+03,1.480000e+02,1.400890e+02,1.400890e+02,7.911011e+00
1.187500e+03,1.230000e+02,1.398146e+02,1.398146e+02,-1.681464e+01
1.192500e+03,1.390000e+02,1.395481e+02,1.395481e+02,-5.480957e-01
1.197500e+03,1.410000e+02,1.392894e+02,1.392894e+02,1.710571e+00
1.202500e+03,1.390000e+02,1.390386e+02,1.390386e+02,-3.863525e-02
1.207500e+03,1.540000e+02,1.387957e+02,1.387957e+02,1.520428e+01
1.212500e+03,1.470000e+02,1.385607e+02,1.385607e+02,8.439331e+00
1.217500e+03,1.250000e+02,1.383335e+02,1.383335e+02,-1.333350e+01
1.222500e+03,1.430000e+02,1.381143e+02,1.381143e+02,4.885742e+00
1.227500e+03,1.380000e+02,1.379028e+02,1.379028e+02,9.716797e-02
1.232500e+03,1.340000e+02,1.376993e+02,1.376993e+02,-3.699280e+00
1.237500e+03,1.430000e+02,1.375035e+02,1.375035e+02,5.496460e+00
1.242500e+03,1.440000e+02,1.373157e+02,1.373157e+02,6.684265e+00
1.247500e+03,1.520000e+02,1.371357e+02,1.371357e+02,1.486426e+01
1.252500e+03,1.340000e+02,1.369637e+02,1.369637e+02,-2.963684e+00
1.257500e+03,1.380000e+02,1.367996e+02,1.367996e+02,1.200439e+00
1.262500e+03,1.390000e+02,1.366432e+02,1.366432e+02,2.356812e+00
1.267500e+03,1.300000e+02,1.364947e+02,1.364947e+02,-6.494690e+00
1.272500e+03,1.330000e+02,1.363541e+02,1.363541e+02,-3.354065e+00
1.277500e+03,1.340000e+02,1.362213e+02,1.362213e+02,-2.221313e+00
1.282500e+03,1.160000e+02,1.360965e+02,1.360965e+02,-2.009650e+01
1.287500e+03,1.470000e+02,1.359796e+02,1.359796e+02,1.102045e+01
1.292500e+03,1.310000e+02,1.358704e+02,1.358704e+02,-4.870422e+00
1.297500e+03,1.250000e+02,1.357692e+02,1.357692e+02,-1.076917e+01
1.302500e+03,1.430000e+02,1.356758e+02,1.356758e+02,7.324158e+00
1.307500e+03,1.460000e+02,1.355903e+02,1.355903e+02,1.040973e+01
1.312500e+03,1.240000e+02,1.355127e+02,1.355127e+02,-1.151270e+01
1.317500e+03,1.390000e+02,1.354429e+02,1.354429e+02,3.557068e+00
1.322500e+03,1.230000e+02,1.353810e+02,1.353810e+02,-1.238104e+01
1.327500e+03,1.370000e+02,1.353270e+02,1.353270e+02,1.672974e+00
1.332500e+03,1.320000e+02,1.352809e+02,1.352809e+02,-3.280884e+00
1.337500e+03,1.390000e+02,1.352426e+02,1.352426e+02,3.757446e+00
1.342500e+03,1.360000e+02,1.352121e+02,1.352121e+02,7.879028e-01
1.347500e+03,1.290000e+02,1.351896e+02,1.351896e+02,-6.189575e+00
1.352500e+03,1.340000e+02,1.351750e+02,1.351750e+02,-1.174988e+00
1.357500e+03,1.410000e+02,1.351682e+02,1.351682e+02,5.831848e+00
1.362500e+03,1.520000e+02,1.351692e+02,1.351692e+02,1.683081e+01
1.367500e+03,1.270000e+02,1.351782e+02,1.351782e+02,-8.178162e+00
1.372500e+03,1.550000e+02,1.351950e+02,1.351950e+02,1.980499e+01
1.377500e+03,1.230000e+02,1.352197e+02,1.352197e+02,-1.221967e+01
1.382500e+03,1.360000e+02,1.352522e+02,1.352522e+02,7.478027e-01
