NKChart,,,,,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k,X of LawCompN [Wavelength (nm)],LawCompN - n,X of LawCompK [Wavelength (nm)],LawCompK - k
871.8021576,2.143626272,871.8021576,0.01535053902,,,,,,
871.0190541,2.143910215,871.0190541,0.01537482583,,,,,,
870.2359507,2.144194274,870.2359507,0.01539920117,,,,,,
869.4528472,2.14447845,869.4528472,0.0154236655,,,,,,
868.6697438,2.144762746,868.6697438,0.0154482193,,,,,,
867.8866403,2.145047163,867.8866403,0.01547286305,,,,,,
867.1035369,2.145331701,867.1035369,0.01549759722,,,,,,
866.3204334,2.145616363,866.3204334,0.01552242232,,,,,,
865.5373299,2.145901149,865.5373299,0.01554733881,,,,,,
864.7542265,2.146186061,864.7542265,0.01557234721,,,,,,
863.971123,2.146471101,863.971123,0.01559744799,,,,,,
863.1880196,2.146756269,863.1880196,0.01562264167,,,,,,
862.4049161,2.147041568,862.4049161,0.01564792874,,,,,,
861.6218126,2.147326998,861.6218126,0.01567330972,,,,,,
860.8387092,2.14761256,860.8387092,0.0156987851,,,,,,
860.0556057,2.147898258,860.0556057,0.01572435541,,,,,,
859.2725023,2.148184091,859.2725023,0.01575002116,,,,,,
858.4893988,2.148470061,858.4893988,0.01577578288,,,,,,
857.7062953,2.14875617,857.7062953,0.01580164108,,,,,,
856.9231919,2.149042419,856.9231919,0.0158275963,,,,,,
856.1400884,2.14932881,856.1400884,0.01585364907,,,,,,
855.356985,2.149615343,855.356985,0.01587979992,,,,,,
854.5738815,2.149902021,854.5738815,0.0159060494,,,,,,
853.790778,2.150188845,853.790778,0.01593239806,,,,,,
853.0076746,2.150475817,853.0076746,0.01595884642,,,,,,
852.2245711,2.150762937,852.2245711,0.01598539506,,,,,,
851.4414677,2.151050208,851.4414677,0.01601204453,,,,,,
850.6583642,2.15133763,850.6583642,0.01603879538,,,,,,
849.8752607,2.151625206,849.8752607,0.01606564818,,,,,,
849.0921573,2.151912938,849.0921573,0.01609260349,,,,,,
848.3090538,2.152200825,848.3090538,0.0161196619,,,,,,
847.5259504,2.152488871,847.5259504,0.01614682398,,,,,,
846.7428469,2.152777076,846.7428469,0.0161740903,,,,,,
845.9597435,2.153065443,845.9597435,0.01620146146,,,,,,
845.17664,2.153353972,845.17664,0.01622893804,,,,,,
844.3935365,2.153642665,844.3935365,0.01625652064,,,,,,
843.6104331,2.153931525,843.6104331,0.01628420985,,,,,,
842.8273296,2.154220551,842.8273296,0.01631200628,,,,,,
842.0442262,2.154509747,842.0442262,0.01633991054,,,,,,
841.2611227,2.154799114,841.2611227,0.01636792323,,,,,,
840.4780192,2.155088653,840.4780192,0.01639604497,,,,,,
839.6949158,2.155378366,839.6949158,0.01642427639,,,,,,
838.9118123,2.155668254,838.9118123,0.0164526181,,,,,,
838.1287089,2.15595832,838.1287089,0.01648107074,,,,,,
837.3456054,2.156248564,837.3456054,0.01650963495,,,,,,
836.5625019,2.156538989,836.5625019,0.01653831136,,,,,,
835.7793985,2.156829596,835.7793985,0.01656710061,,,,,,
834.996295,2.157120387,834.996295,0.01659600336,,,,,,
834.2131916,2.157411364,834.2131916,0.01662502027,,,,,,
833.4300881,2.157702528,833.4300881,0.01665415198,,,,,,
832.6469846,2.157993881,832.6469846,0.01668339916,,,,,,
831.8638812,2.158285425,831.8638812,0.01671276249,,,,,,
831.0807777,2.158577161,831.0807777,0.01674224264,,,,,,
830.2976743,2.158869091,830.2976743,0.01677184028,,,,,,
829.5145708,2.159161217,829.5145708,0.0168015561,,,,,,
828.7314673,2.159453541,828.7314673,0.01683139079,,,,,,
827.9483639,2.159746065,827.9483639,0.01686134505,,,,,,
827.1652604,2.160038789,827.1652604,0.01689141957,,,,,,
826.382157,2.160331717,826.382157,0.01692161506,,,,,,
825.5990535,2.16062485,825.5990535,0.01695193224,,,,,,
824.8159501,2.160918189,824.8159501,0.01698237181,,,,,,
824.0328466,2.161211736,824.0328466,0.0170129345,,,,,,
823.2497431,2.161505494,823.2497431,0.01704362105,,,,,,
822.4666397,2.161799464,822.4666397,0.01707443217,,,,,,
821.6835362,2.162093648,821.6835362,0.01710536862,,,,,,
820.9004328,2.162388048,820.9004328,0.01713643113,,,,,,
820.1173293,2.162682666,820.1173293,0.01716762045,,,,,,
819.3342258,2.162977503,819.3342258,0.01719893735,,,,,,
